industry,sku,product_name,date,demand,unit
Pharma,PH001,Paracetamol 500mg,2025-12-27,27,strips
Pharma,PH001,Paracetamol 500mg,2025-12-28,26,strips
Pharma,PH001,Paracetamol 500mg,2025-12-29,32,strips
Pharma,PH001,Paracetamol 500mg,2025-12-30,39,strips
Pharma,PH001,Paracetamol 500mg,2025-12-31,33,strips
Pharma,PH001,Paracetamol 500mg,2026-01-01,31,strips
Pharma,PH001,Paracetamol 500mg,2026-01-02,33,strips
Pharma,PH001,Paracetamol 500mg,2026-01-03,28,strips
Pharma,PH001,Paracetamol 500mg,2026-01-04,25,strips
Pharma,PH001,Paracetamol 500mg,2026-01-05,32,strips
Pharma,PH001,Paracetamol 500mg,2026-01-06,32,strips
Pharma,PH001,Paracetamol 500mg,2026-01-07,33,strips
Pharma,PH001,Paracetamol 500mg,2026-01-08,33,strips
Pharma,PH001,Paracetamol 500mg,2026-01-09,22,strips
Pharma,PH001,Paracetamol 500mg,2026-01-10,20,strips
Pharma,PH001,Paracetamol 500mg,2026-01-11,25,strips
Pharma,PH001,Paracetamol 500mg,2026-01-12,27,strips
Pharma,PH001,Paracetamol 500mg,2026-01-13,35,strips
Pharma,PH001,Paracetamol 500mg,2026-01-14,31,strips
Pharma,PH001,Paracetamol 500mg,2026-01-15,27,strips
Pharma,PH001,Paracetamol 500mg,2026-01-16,34,strips
Pharma,PH001,Paracetamol 500mg,2026-01-17,25,strips
Pharma,PH001,Paracetamol 500mg,2026-01-18,27,strips
Pharma,PH001,Paracetamol 500mg,2026-01-19,26,strips
Pharma,PH001,Paracetamol 500mg,2026-01-20,32,strips
Pharma,PH001,Paracetamol 500mg,2026-01-21,36,strips
Pharma,PH001,Paracetamol 500mg,2026-01-22,28,strips
Pharma,PH001,Paracetamol 500mg,2026-01-23,30,strips
Pharma,PH001,Paracetamol 500mg,2026-01-24,25,strips
Pharma,PH001,Paracetamol 500mg,2026-01-25,27,strips
Pharma,PH001,Paracetamol 500mg,2026-01-26,29,strips
Pharma,PH001,Paracetamol 500mg,2026-01-27,43,strips
Pharma,PH001,Paracetamol 500mg,2026-01-28,36,strips
Pharma,PH001,Paracetamol 500mg,2026-01-29,29,strips
Pharma,PH001,Paracetamol 500mg,2026-01-30,32,strips
Pharma,PH001,Paracetamol 500mg,2026-01-31,23,strips
Pharma,PH001,Paracetamol 500mg,2026-02-01,29,strips
Pharma,PH001,Paracetamol 500mg,2026-02-02,24,strips
Pharma,PH001,Paracetamol 500mg,2026-02-03,30,strips
Pharma,PH001,Paracetamol 500mg,2026-02-04,37,strips
Pharma,PH001,Paracetamol 500mg,2026-02-05,37,strips
Pharma,PH001,Paracetamol 500mg,2026-02-06,30,strips
Pharma,PH001,Paracetamol 500mg,2026-02-07,27,strips
Pharma,PH001,Paracetamol 500mg,2026-02-08,27,strips
Pharma,PH001,Paracetamol 500mg,2026-02-09,26,strips
Pharma,PH001,Paracetamol 500mg,2026-02-10,33,strips
Pharma,PH001,Paracetamol 500mg,2026-02-11,35,strips
Pharma,PH001,Paracetamol 500mg,2026-02-12,39,strips
Pharma,PH001,Paracetamol 500mg,2026-02-13,32,strips
Pharma,PH001,Paracetamol 500mg,2026-02-14,22,strips
Pharma,PH001,Paracetamol 500mg,2026-02-15,30,strips
Pharma,PH001,Paracetamol 500mg,2026-02-16,31,strips
Pharma,PH001,Paracetamol 500mg,2026-02-17,33,strips
Pharma,PH001,Paracetamol 500mg,2026-02-18,40,strips
Pharma,PH001,Paracetamol 500mg,2026-02-19,39,strips
Pharma,PH001,Paracetamol 500mg,2026-02-20,34,strips
Pharma,PH001,Paracetamol 500mg,2026-02-21,25,strips
Pharma,PH001,Paracetamol 500mg,2026-02-22,28,strips
Pharma,PH001,Paracetamol 500mg,2026-02-23,34,strips
Pharma,PH001,Paracetamol 500mg,2026-02-24,41,strips
Pharma,PH001,Paracetamol 500mg,2026-02-25,36,strips
Pharma,PH001,Paracetamol 500mg,2026-02-26,35,strips
Pharma,PH001,Paracetamol 500mg,2026-02-27,27,strips
Pharma,PH001,Paracetamol 500mg,2026-02-28,24,strips
Pharma,PH001,Paracetamol 500mg,2026-03-01,32,strips
Pharma,PH001,Paracetamol 500mg,2026-03-02,39,strips
Pharma,PH001,Paracetamol 500mg,2026-03-03,37,strips
Pharma,PH001,Paracetamol 500mg,2026-03-04,43,strips
Pharma,PH001,Paracetamol 500mg,2026-03-05,37,strips
Pharma,PH001,Paracetamol 500mg,2026-03-06,29,strips
Pharma,PH001,Paracetamol 500mg,2026-03-07,30,strips
Pharma,PH001,Paracetamol 500mg,2026-03-08,35,strips
Pharma,PH001,Paracetamol 500mg,2026-03-09,34,strips
Pharma,PH001,Paracetamol 500mg,2026-03-10,45,strips
Pharma,PH001,Paracetamol 500mg,2026-03-11,27,strips
Pharma,PH001,Paracetamol 500mg,2026-03-12,40,strips
Pharma,PH001,Paracetamol 500mg,2026-03-13,32,strips
Pharma,PH001,Paracetamol 500mg,2026-03-14,28,strips
Pharma,PH001,Paracetamol 500mg,2026-03-15,30,strips
Pharma,PH001,Paracetamol 500mg,2026-03-16,26,strips
Pharma,PH001,Paracetamol 500mg,2026-03-17,37,strips
Pharma,PH001,Paracetamol 500mg,2026-03-18,41,strips
Pharma,PH001,Paracetamol 500mg,2026-03-19,43,strips
Pharma,PH001,Paracetamol 500mg,2026-03-20,30,strips
Pharma,PH001,Paracetamol 500mg,2026-03-21,27,strips
Pharma,PH001,Paracetamol 500mg,2026-03-22,29,strips
Pharma,PH001,Paracetamol 500mg,2026-03-23,39,strips
Pharma,PH001,Paracetamol 500mg,2026-03-24,40,strips
Pharma,PH001,Paracetamol 500mg,2026-03-25,37,strips
Pharma,PH001,Paracetamol 500mg,2026-03-26,39,strips
Pharma,PH002,Amoxicillin 250mg,2025-12-27,15,strips
Pharma,PH002,Amoxicillin 250mg,2025-12-28,17,strips
Pharma,PH002,Amoxicillin 250mg,2025-12-29,16,strips
Pharma,PH002,Amoxicillin 250mg,2025-12-30,19,strips
Pharma,PH002,Amoxicillin 250mg,2025-12-31,19,strips
